Sample Number,Sample Date,Start Time,Sample Location,Class,Genus,Species,Density,Biovolume,Counted
430,8/8/2017,7:22,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,141049.7424,132586757.9,16
349,4/25/2018,22:01,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,423149.2272,132022558.9,240
408,8/1/2017,2:37,Interior,Bacillariophyta,Gomphonema,Gomphonema sp.,176312.178,118129159.3,2
408,8/1/2017,2:37,Interior,Bacillariophyta,Diatoma,Diatoma sp.,571198.8636,117095767,6
423,8/8/2017,0:52,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,105787.3068,116894974,12
305,8/1/2017,11:17,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,95199.81061,114239772.7,10
425,8/8/2017,1:19,Interior,Bacillariophyta,Melosira,Melosira varians,171359.6591,112583296,18
107.1,4/19/2018,16:14,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,158680.9602,109331181.6,30
408,8/1/2017,2:37,Interior,Bacillariophyta,Nitzschia,Nitzschia sp.,440780.445,104905745.9,5
119.1,4/19/2018,23:10,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,312072.5551,103608088.3,118
358,4/26/2018,4:50,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,232732.075,101238452.6,220
451,4/19/2018,22:50,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,290915.0937,97165641.3,165
408,8/1/2017,2:37,Interior,Bacillariophyta,Cyclotella,Cyclotella sp.,440780.445,96090137.02,5
357,4/26/2018,4:33,Breach,Bacillariophyta,Fragilaria,Fragilaria crotonensis,148511.7045,95641537.73,78
357,4/26/2018,4:33,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,248600.171,93225064.12,141
182.1,4/26/2018,10:57,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,84629.84545,92669680.76,32
431,8/8/2017,7:33,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,88156.08901,90359991.23,10
173.1,4/26/2018,5:29,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,220390.2225,90139601.01,75
408,8/1/2017,2:37,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,264468.267,89654742.52,3
408,8/1/2017,2:37,Interior,Bacillariophyta,Stephanodiscus,Stephanodiscus sp.,176312.178,86745591.58,2
126.2,4/20/2018,2:57,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,95208.57613,85687718.51,36
91,8/8/2017,13:58,Breach,Bacillariophyta,Fragilaria,Fragilaria crotonensis,116366.0375,84249011.14,88
364,4/26/2018,10:55,Interior,Bacillariophyta,Fragilaria,Fragilaria crotonensis,123759.7538,81681437.5,26
319,4/19/2018,16:36,Breach,Bacillariophyta,Navicula,Navicula sp.,436372.6406,81601683.79,33
126.1,4/20/2018,2:57,Breach,Cyanobacteria,Cuspidothrix,Cuspidothrix sp.,5077790.727,81244651.63,384
366,4/26/2018,11:12,Interior,Bacillariophyta,Rhopalodia,Rhopalodia gibba,68761.74942,79488582.33,39
126.1,4/20/2018,2:57,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,185127.7869,77568542.72,14
448,4/19/2018,16:30,Interior,Bacillariophyta,Fragilaria,Fragilaria crotonensis,116366.0375,77267048.89,66
319,4/19/2018,16:36,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,28559.94318,76740567.33,2
331,4/20/2018,3:47,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,248600.171,76320252.5,188
364,4/26/2018,10:55,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,105787.3068,75955286.29,24
404,7/31/2017,18:50,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,26446.8267,75955286.29,3
475,4/25/2018,21:06,Interior,Bacillariophyta,Fragilaria,Fragilaria crotonensis,104719.7917,75817129.17,55
304,8/1/2017,9:20,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,26446.8267,75770158.5,3
163.1,4/25/2018,22:09,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,76159.84848,74636651.52,16
163.1,4/25/2018,22:09,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,167496.5691,74535973.25,38
315,8/8/2017,14:35,Interior,Chlorophyta,Monostroma,Monostroma sp.,229205.8314,72887454.39,26
339,4/20/2018,9:08,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,174549.0562,72786956.45,99
349,4/25/2018,22:01,Breach,Bacillariophyta,Fragilaria,Fragilaria crotonensis,97103.80682,72633647.5,51
127.1,4/20/2018,4:05,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,174549.0562,72263309.28,33
182.1,4/26/2018,10:57,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,195706.5176,72019998.47,74
404,7/31/2017,18:50,Interior,Bacillariophyta,Melosira,Melosira varians,114239.7727,71514097.73,12
352,4/25/2018,22:29,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,79340.48011,68788196.25,24
460,4/20/2018,3:21,Interior,Bacillariophyta,Fragilaria,Fragilaria crotonensis,105787.3068,68127025.58,32
343,4/25/2018,15:02,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,190417.1523,66836420.44,180
126.1,4/20/2018,2:57,Breach,Cyanobacteria,Oscillatoria,Oscillatoria spp.,3914130.352,66540215.98,296
316,8/8/2017,20:09,Breach,Chlorophyta,Monostroma,Monostroma sp.,161839.678,65545069.6,17
403,7/31/2017,18:35,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,26446.8267,63895533.31,3
334,4/20/2018,3:14,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,79340.48011,63075681.68,30
135.1,4/20/2018,9:05,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,68543.86364,62374915.91,12
91,8/8/2017,13:58,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,52893.6534,61356637.95,40
42,8/1/2017,9:54,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,26446.8267,61330191.12,10
340,4/20/2018,9:29,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,200995.8829,60298764.88,152
163.1,4/25/2018,22:09,Breach,Bacillariophyta,Aulacoseira,Aulacoseira islandica,370255.5738,58870636.24,84
416,8/1/2017,10:14,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,57119.88636,58262284.09,6
173.1,4/26/2018,5:29,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,26446.8267,57654082.21,9
307,8/1/2017,14:37,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,132234.1335,57257379.81,15
317,8/8/2017,20:25,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,52893.6534,57125145.68,6
314,8/8/2017,14:10,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,149865.3513,55600045.34,17
435,8/8/2017,14:03,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,79340.48011,54110207.43,9
173.2,4/26/2018,5:29,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,121655.4028,53650032.65,69
309,8/8/2017,1:04,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,26446.8267,53343249.46,3
365,4/26/2018,11:04,Interior,Bacillariophyta,Rhoicosphenia,Rhoicosphenia curvata,264468.267,52100248.6,45
318,8/8/2017,21:16,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,17631.2178,51835780.34,2
127.3,4/20/2018,4:05,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,148102.2295,51687678.11,28
126.3,4/20/2018,2:57,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,51407.89773,51150858.24,18
349,4/25/2018,22:01,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,63472.38408,50016238.66,36
404,7/31/2017,18:50,Interior,Bacillariophyta,Synedra,Synedra spp.,88156.08901,49720034.2,10
107.1,4/19/2018,16:14,Breach,Bacillariophyta,Asterionella,Asterionella formosa,91391.81818,49625757.27,16
463,4/20/2018,9:36,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,52893.6534,48926629.4,50
438,8/8/2017,14:37,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,52893.6534,47868756.33,6
433,8/8/2017,7:56,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,17631.2178,47692444.15,2
325,4/19/2018,22:49,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,153391.5949,46937828.03,290
126.3,4/20/2018,2:57,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,121655.4028,45864086.87,46
150.2,4/25/2018,15:33,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,52893.6534,45647222.89,20
127.2,4/20/2018,4:05,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,45695.90909,45467429.55,16
315,8/8/2017,14:35,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,19039.96212,45181830.11,2
126.2,4/20/2018,2:57,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,100497.9415,44822081.89,38
407,8/1/2017,2:23,Interior,Bacillariophyta,Fragilaria,Fragilaria crotonensis,57119.88636,44553511.36,6
405,7/31/2017,23:47,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,17631.2178,44465931.29,2
305,8/1/2017,11:17,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,61709.2623,43875285.5,7
445,4/19/2018,15:50,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,132234.1335,42843859.26,125
484,4/26/2018,5:08,Interior,Bacillariophyta,Aulacoseira,Aulacoseira islandica,299730.7026,42561759.77,102
328,4/19/2018,22:04,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,111076.6721,40765138.68,84
460,4/20/2018,3:21,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,14279.97159,40569399.29,4
424,8/8/2017,1:06,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,52893.6534,40304963.89,6
338,4/20/2018,8:59,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,95208.57613,40082810.55,72
365,4/26/2018,11:04,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,17631.2178,39670240.05,3
337,4/20/2018,8:53,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,121655.4028,39416350.52,115
487,4/26/2018,10:29,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,17631.2178,39335246.91,28
361,4/26/2018,10:32,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,121655.4028,38078141.09,138
429,8/8/2017,7:09,Interior,Bacillariophyta,Synedra,Synedra spp.,70524.8712,37871855.84,8
403,7/31/2017,18:35,Interior,Bacillariophyta,Melosira,Melosira varians,70524.8712,37589756.35,8
470,4/25/2018,15:26,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,100497.9415,37385234.23,38
357,4/26/2018,4:33,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,42314.92272,37279446.92,24
403,7/31/2017,18:35,Interior,Bacillariophyta,Frustulia,Frustulia sp.,26446.8267,37237132,3
481,4/26/2018,5:13,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,38079.92424,37127926.14,16
119.1,4/19/2018,23:10,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,42314.92272,36856297.69,16
314,8/8/2017,14:10,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,38079.92424,36747126.89,4
307,8/1/2017,14:37,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,35262.4356,36496620.85,4
477,4/25/2018,21:23,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,17631.2178,35844265.79,20
331,4/20/2018,3:47,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,34271.93182,35814168.75,24
119.1,4/19/2018,23:10,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,31736.19204,35544535.09,12
307,8/1/2017,14:37,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,17631.2178,35474010.22,2
322,4/19/2018,17:20,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,14279.97159,35342929.69,4
322,4/19/2018,17:20,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,105787.3068,35227173.17,32
352,4/25/2018,22:29,Interior,Bacillariophyta,Synedra,Synedra spp.,66117.06675,34711460.05,20
427,8/8/2017,1:44,Interior,Bacillariophyta,Frustulia,Frustulia sp.,26446.8267,34645342.98,3
106.1,4/19/2018,15:08,Breach,Bacillariophyta,Aulacoseira,Aulacoseira islandica,232732.075,34211615.02,44
361,4/26/2018,10:32,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,42314.92272,34148142.64,48
308,8/8/2017,0:22,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,105787.3068,33957725.49,12
411,8/1/2017,3:15,Interior,Bacillariophyta,Melosira,Melosira varians,52893.6534,33746150.87,6
127.3,4/20/2018,4:05,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,11423.97727,33677885,2
150.1,4/25/2018,15:33,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,100497.9415,33566312.45,209
319,4/19/2018,16:36,Breach,Bacillariophyta,Diatoma,Diatoma vulgare,185127.7869,33508129.43,14
403,7/31/2017,18:35,Interior,Bacillariophyta,Bacillaria,Bacillaria paradoxa,246837.0492,33323001.64,28
149.1,4/25/2018,15:01,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,31736.19204,33005639.72,30
136.1,4/20/2018,9:40,Breach,Bacillariophyta,Aulacoseira,Aulacoseira sp.,174549.0562,32989771.63,66
408,8/1/2017,2:37,Interior,Bacillariophyta,Nedium,Nedium sp.,88156.08901,32970377.29,1
106.1,4/19/2018,15:08,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,95208.57613,32466124.46,18
308,8/8/2017,0:22,Breach,Bacillariophyta,Synedra,Synedra delicatissima,17631.2178,32370915.88,2
451,4/19/2018,22:50,Interior,Bacillariophyta,Aulacoseira,Aulacoseira islandica,229205.8314,32318022.23,130
364,4/26/2018,10:55,Interior,Bacillariophyta,Rhoicosphenia,Rhoicosphenia curvata,158680.9602,32053553.96,36
337,4/20/2018,8:53,Breach,Bacillariophyta,Fragilaria,Fragilaria crotonensis,45695.90909,31804352.73,40
433,8/8/2017,7:56,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,44078.0445,31692114,5
366,4/26/2018,11:12,Interior,Bacillariophyta,Aulacoseira,Aulacoseira granulata,31736.19204,31260149.16,18
355,4/26/2018,4:17,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,79340.48011,31180808.68,75
426,8/8/2017,1:32,Interior,Bacillariophyta,Synedra,Synedra spp.,61709.2623,30916340.41,7
308,8/8/2017,0:22,Breach,Bacillariophyta,Nitzschia,Nitzschia sp.,114602.9157,30828184.33,13
126.1,4/20/2018,2:57,Breach,Bacillariophyta,Rhoicosphenia,Rhoicosphenia curvata,132234.1335,30810553.11,10
161.1,4/25/2018,20:35,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,79340.48011,30784106.28,36
311,8/8/2017,6:44,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,72728.77343,30182440.97,22
429,8/8/2017,7:09,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,35262.4356,29796758.08,4
426,8/8/2017,1:32,Interior,Bacillariophyta,Navicula,Navicula sp.,149865.3513,29673339.56,17
319,4/19/2018,16:36,Breach,Bacillariophyta,Rhopalodia,Rhopalodia gibba,26446.8267,29514658.6,2
310,8/8/2017,1:24,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,79340.48011,29276637.16,9
41,8/1/2017,9:32,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,95208.57613,29229032.87,36
476,4/25/2018,21:15,Interior,Bacillariophyta,Synedra,Synedra spp.,58183.01874,29149692.39,55
118.2,4/19/2018,22:19,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,89919.21079,29043905.08,34
41,8/1/2017,9:32,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,11423.97727,28902662.5,4
12,7/31/2017,18:30,Breach,Bacillariophyta,Synedra,Synedra spp.,52893.6534,28879934.76,15
315,8/8/2017,14:35,Interior,Bacillariophyta,Synedra,Synedra spp.,52893.6534,28721253.8,6
322,4/19/2018,17:20,Interior,Bacillariophyta,Diploneis,Diploneis sp.,79340.48011,28562572.84,24
408,8/1/2017,2:37,Interior,Bacillariophyta,Diploneis,Diploneis sp.,88156.08901,28209948.48,1
454,4/20/2018,0:06,Interior,Bacillariophyta,Aulacoseira,Aulacoseira islandica,179838.4216,28054793.77,136
12,7/31/2017,18:30,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,84629.84545,27927849,24
460,4/20/2018,3:21,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,79340.48011,27927849,24
322,4/19/2018,17:20,Interior,Bacillariophyta,Cyclotella,Cyclotella sp.,119010.7202,27848508.52,36
425,8/8/2017,1:19,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,9519.981061,27750744.79,1
405,7/31/2017,23:47,Interior,Bacillariophyta,Navicula,Navicula sp.,114602.9157,27390096.85,13
436,8/8/2017,14:16,Interior,Bacillariophyta,Synedra,Synedra spp.,52893.6534,27293125.16,6
426,8/8/2017,1:32,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,9519.981061,26379867.52,1
319,4/19/2018,16:36,Breach,Bacillariophyta,Bacillaria,Bacillaria paradoxa,158680.9602,26182358.43,12
475,4/25/2018,21:06,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,26041308.69,5
410,8/1/2017,3:02,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,26014861.87,1
309,8/8/2017,1:04,Interior,Bacillariophyta,Navicula,Navicula sp.,105787.3068,25812102.86,12
404,7/31/2017,18:50,Interior,Bacillariophyta,Bacillaria,Bacillaria paradoxa,158680.9602,25388953.63,18
106.1,4/19/2018,15:08,Breach,Bacillariophyta,Melosira,Melosira varians,34271.93182,25258413.75,6
451,4/19/2018,22:50,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,24930541.97,5
481,4/26/2018,5:13,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,24860017.1,4
416,8/1/2017,10:14,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,9519.981061,24552031.16,1
438,8/8/2017,14:37,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,24454499.09,1
106.1,4/19/2018,15:08,Breach,Cyanobacteria,Cuspidothrix,Cuspidothrix sp.,1873532.273,24355919.55,328
423,8/8/2017,0:52,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,24269371.3,1
300,7/31/2017,18:33,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,35262.4356,24225293.26,4
106.1,4/19/2018,15:08,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,11423.97727,24127440,2
150.3,4/25/2018,15:33,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,79340.48011,24040165.47,18
448,4/19/2018,16:30,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,68761.74942,23997850.55,39
126.1,4/20/2018,2:57,Breach,Bacillariophyta,Aulacoseira,Aulacoseira islandica,158680.9602,23643463.07,12
364,4/26/2018,10:55,Interior,Bacillariophyta,Fragilaria,Fragilaria capucina,399839.2045,23590513.07,84
313,8/8/2017,7:29,Interior,Chlorophyta,Spirogyra,Spirogyra sp.,66117.06675,23405441.63,15
476,4/25/2018,21:15,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,10578.73068,23368416.07,10
427,8/8/2017,1:44,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,23326101.15,1
92,8/8/2017,14:25,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,52893.6534,23220313.84,24
309,8/8/2017,1:04,Interior,Bacillariophyta,Cocconeis,Cocconeis placentula,26446.8267,23140973.36,3
308,8/8/2017,0:22,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,35262.4356,22955845.58,4
91,8/8/2017,13:58,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,10578.73068,22818322.08,8
305,8/1/2017,11:17,Interior,Bacillariophyta,Diploneis,Diploneis sp.,61709.2623,22770717.79,7
150.2,4/25/2018,15:33,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,21157.46136,22744270.96,8
107.1,4/19/2018,16:14,Breach,Bacillariophyta,Cyclotella,Cyclotella sp.,137523.4988,22691377.31,26
481,4/26/2018,5:13,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,61709.2623,22647299.27,28
150.3,4/25/2018,15:33,Breach,Bacillariophyta,Aulacoseira,Aulacoseira granulata,22847.95455,22619475,8
310,8/8/2017,1:24,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,22594405.61,1
425,8/8/2017,1:19,Interior,Bacillariophyta,Frustulia,Frustulia sp.,17631.2178,22567958.79,2
322,4/19/2018,17:20,Interior,Bacillariophyta,Rhoicosphenia,Rhoicosphenia curvata,105787.3068,22532696.35,32
433,8/8/2017,7:56,Interior,Bacillariophyta,Nitzschia,Nitzschia sp.,79340.48011,22532696.35,9
364,4/26/2018,10:55,Interior,Bacillariophyta,Melosira,Melosira varians,38079.92424,22390995.45,8
431,8/8/2017,7:33,Interior,Chlorophyta,Spirogyra,Spirogyra sp.,47599.9053,22324355.59,5
334,4/20/2018,3:14,Interior,Bacillariophyta,Rhoicosphenia,Rhoicosphenia curvata,116366.0375,22225913.16,44
150.2,4/25/2018,15:33,Breach,Bacillariophyta,Encyonema,Encyonema sp.,47604.28806,22183598.24,18
429,8/8/2017,7:09,Interior,Bacillariophyta,Cyclotella,Cyclotella sp.,79340.48011,22056653.47,9
433,8/8/2017,7:56,Interior,Bacillariophyta,Synedra,Synedra spp.,44078.0445,21950866.16,5
424,8/8/2017,1:06,Interior,Bacillariophyta,Rhopalodia,Rhopalodia gibba,17631.2178,21492454.5,2
421,8/1/2017,16:27,Interior,Bacillariophyta,Rhopalodia,Rhopalodia gibba,17631.2178,21298511.1,2
435,8/8/2017,14:03,Interior,Bacillariophyta,Synedra,Synedra spp.,44078.0445,21157461.36,5
107.1,4/19/2018,16:14,Breach,Bacillariophyta,Rhoicosphenia,Rhoicosphenia curvata,100497.9415,20803073.88,19
163.1,4/25/2018,22:09,Breach,Bacillariophyta,Synedra,Synedra spp.,44078.0445,20760758.96,10
430,8/8/2017,7:22,Interior,Bacillariophyta,Synedra,Synedra spp.,44078.0445,20496290.69,5
316,8/8/2017,20:09,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,52893.6534,20416950.21,6
423,8/8/2017,0:52,Interior,Bacillariophyta,Navicula,Navicula sp.,88156.08901,20364056.56,10
365,4/26/2018,11:04,Interior,Bacillariophyta,Diploneis,Diploneis sp.,52893.6534,20152481.95,9
412,8/1/2017,9:10,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,7934.048011,20065207.42,3
318,8/8/2017,21:16,Interior,Bacillariophyta,Synedra,Synedra spp.,35262.4356,19993800.99,4
424,8/8/2017,1:06,Interior,Bacillariophyta,Synedra,Synedra spp.,44078.0445,19967354.16,5
127.2,4/20/2018,4:05,Breach,Bacillariophyta,Aulacoseira,Aulacoseira islandica,137523.4988,19940907.33,52
478,4/25/2018,21:56,Interior,Bacillariophyta,Synedra,Synedra spp.,37025.55738,19882724.31,70
309,8/8/2017,1:04,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,52893.6534,19835120.03,6
127.3,4/20/2018,4:05,Breach,Cyanobacteria,Cuspidothrix,Cuspidothrix sp.,1100187.991,19803383.83,208
429,8/8/2017,7:09,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,19720517.11,1
435,8/8/2017,14:03,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,19553020.54,1
319,4/19/2018,16:36,Breach,Bacillariophyta,Synedra,Synedra spp.,39670.24005,19517758.11,3
476,4/25/2018,21:15,Interior,Bacillariophyta,Synedra,Synedra delicatissima,11423.97727,19466457.27,10
356,4/26/2018,4:27,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,47604.28806,19422549.53,18
91,8/8/2017,13:58,Breach,Bacillariophyta,Cocconeis,Cocconeis sp.,58183.01874,19258579.2,44
308,8/8/2017,0:22,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,19218027.4,1
460,4/20/2018,3:21,Interior,Cryptophyta,Rhodomonas,Rhodomonas sp.,436372.6406,19200396.19,132
475,4/25/2018,21:06,Interior,Bacillariophyta,Cocconeis,Cocconeis sp.,44078.0445,19173949.36,25
306,8/1/2017,14:07,Breach,Bacillariophyta,Gyrosigma,Gyrosigma sp.,8815.608901,19076977.66,1
150.2,4/25/2018,15:33,Breach,Bacillariophyta,Cymbella,Cymbella sp.,63472.38408,19041715.23,24
182.1,4/26/2018,10:57,Breach,Bacillariophyta,Cocconeis,Cocconeis placentula,26446.8267,19041715.23,10
408,8/1/2017,2:37,Interior,Bacillariophyta,Gyrosigma,Gyrosigma sp.,6666.732982,19040189.4,1
