quadid,sentinelsite,tier3site,subsite,cellid,latitude,longitude,plot,plotsize,sampledate,samplemonth,sampleyear,biomass_gm,waterdepth,thatchheight,thatchdensity,pclive,pcdead,pcsoil,pclitter,pcaqveg,pcwater,sp1,pc_sp1,sp2,pc_sp2,sp3,pc_sp3,bioCOUNT,gps_accuracy,biotypha_gm2,bioscac_gm2,totalbiomass_gm2,salinity,distance,pc_wrack,herbbio,deadherbbio,phaubio,deadphaubio,ivfrbio,deadivfrbio,biomassstd_gm2,culmdensity_m2,culmdensitystd_m2
"9-2","CapeCod","Sage","NA",58672,41.55736,-70.50424,"NA",.25,"8/10/2015",8,2015,712.84,"0.5","10","medium","76","25",1,"NA","0","0","Phragmites australis",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11-1","CapeCod","Scusset","NA",1224708,41.77764,-70.51954,"NA",.25,"9/1/2015",9,2015,497.36,"0","2","low-medium","94","3",3,"NA","0","0","Spartina alterniflora",94,"Salicornia europaea",7,"Spartina patens",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11-3","CapeCod","Scusset","NA",1224708,41.77764,-70.51966,"NA",.25,"9/1/2015",9,2015,316.08,"0","0","none","76","3",38,"NA","0","0","Spartina alterniflora",38,"Salicornia europaea",25,"Spartina patens",3,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11-2","CapeCod","Scusset","NA",1224708,41.77776,-70.51962,"NA",.25,"9/1/2015",9,2015,591.92,"0","2","low","94","3",7,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12-2","CapeCod","Scusset","NA",1224709,41.77779,-70.51923,"NA",.25,"9/1/2015",9,2015,868.68,"24","3","low-medium","94","7",1,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12-3","CapeCod","Scusset","NA",1224709,41.77765,-70.51933,"NA",.25,"9/1/2015",9,2015,700.28,"15","0.5","low","94","3",3,"NA","0","0","Spartina alterniflora",55,"Spartina patens",38,"Salicornia europaea",7,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12-1","CapeCod","Scusset","NA",1224709,41.77775,-70.51934,"NA",.25,"9/1/2015",9,2015,477,"0","3","medium","94","7",3,"NA","0","0","Spartina alterniflora",55,"Spartina patens",55,"Salicornia europaea",7,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13-2","CapeCod","Scusset","NA",1226137,41.77787,-70.51974,"NA",.25,"9/2/2015",9,2015,748.8,"0.5","3","low","76","25",7,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13-3","CapeCod","Scusset","NA",1226137,41.77803,-70.5196,"NA",.25,"9/2/2015",9,2015,863.4,"0","2","low","76","3",25,"NA","0","0","Spartina alterniflora",76,"Spartina patens",38,"Salicornia europaea",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13-1","CapeCod","Scusset","NA",1226137,41.77787,-70.51952,"NA",.25,"9/2/2015",9,2015,788.4,"0","4","medium","76","15",3,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14-1","CapeCod","Scusset","NA",1226138,41.77788,-70.51929,"NA",.25,"9/2/2015",9,2015,467.72,"0","3","low-medium","76","15",7,"NA","0","0","Spartina alterniflora",94,"Salicornia europaea",3,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14-2","CapeCod","Scusset","NA",1226138,41.77806,-70.51917,"NA",.25,"9/2/2015",9,2015,399.12,"0.5","6","medium-high","94","25",3,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14-3","CapeCod","Scusset","NA",1226138,41.77802,-70.51936,"NA",.25,"9/2/2015",9,2015,566.32,"0","4","medium","94","7",1,"NA","0","0","Spartina alterniflora",76,"Spartina patens",38,"Salicornia europaea",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15-2","CapeCod","Scusset","NA",1227566,41.77814,-70.51964,"NA",.25,"9/2/2015",9,2015,839.64,"0","1.5","low","94","3",3,"NA","0","0","Spartina alterniflora",94,"Salicornia europaea",3,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15-3","CapeCod","Scusset","NA",1227566,41.77824,-70.51968,"NA",.25,"9/2/2015",9,2015,544.16,"0.5","3","medium","94","3",1,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15-1","CapeCod","Scusset","NA",1227566,41.77828,-70.51956,"NA",.25,"9/2/2015",9,2015,651.4,"0.5","2","low","94","3",3,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16-2","CapeCod","Scusset","NA",1227567,41.77827,-70.51923,"NA",.25,"9/2/2015",9,2015,837.88,"0","3","medium","76","25",15,"NA","0","0","Phragmites australis",94,"Salidago rugosa",7,"multiple herbaceous species may add up to 1%",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16-1","CapeCod","Scusset","NA",1227567,41.77814,-70.51925,"NA",.25,"9/2/2015",9,2015,497.72,"0","0.5","low","76","38",25,"NA","0","0","Phragmites australis",55,"Spartina patens",55,"Salidago rugosa",7,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16-3","CapeCod","Scusset","NA",1227567,41.77827,-70.51939,"NA",.25,"9/2/2015",9,2015,484.64,"0","3","medium","94","7",1,"NA","0","0","Spartina patens",76,"Spartina alterniflora",38,"Juncus gerardii",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17-1","CapeCod","Scusset","NA",1299007,41.79167,-70.52319,"NA",.25,"9/16/2015",9,2015,1317.67,"0","20","high","55","55",0,"NA","0","0","Phragmites australis",100,"NA",0,"NA",0,2,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17-2","CapeCod","Scusset","NA",1299007,41.79162,-70.52311,"NA",.25,"9/16/2015",9,2015,1571.66,"0","20","high","25","76",0,"NA","0","0","Phragmites australis",100,"Toxicodendron radicans",3,"NA",0,2,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33-2","CapeCod","Scusset","NA",1299008,41.79167,-70.5228,"NA",.25,"9/16/2015",9,2015,1342.5,"0","20","high","25","76",0,"NA","0","0","Phragmites australis",100,"Toxicodendron radicans",1,"NA",0,4,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33-1","CapeCod","Scusset","NA",1299008,41.79167,-70.52267,"NA",.25,"9/16/2015",9,2015,703.85,"0","25","high","25","76",0,"NA","0","0","Phragmites australis",100,"Toxicodendron radicans",1,"NA",0,4,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17-3","CapeCod","Scusset","NA",1299008,41.79158,-70.523,"NA",.25,"9/16/2015",9,2015,1052,"0","20","high","55","55",0,"NA","0","0","Phragmites australis",94,"Solidago sempervirens",3,"Toxicodendron radicans",3,4,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"33-3","CapeCod","Scusset","NA",1299008,41.7917,-70.52288,"NA",.25,"9/16/2015",9,2015,688.63,"0","30","high","25","76",0,"NA","0","0","Phragmites australis",100,"Toxicodendron radicans",1,"NA",0,4,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18-2","CapeCod","Scusset","NA",1300436,41.79207,-70.52322,"NA",.25,"9/16/2015",9,2015,666.63,"0","25","very high","38","76",0,"NA","0","0","Phragmites australis",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18-3","CapeCod","Scusset","NA",1300436,41.79198,-70.52317,"NA",.25,"9/16/2015",9,2015,1306.94,"0","25","very high","55","55",0,"NA","0","0","Phragmites australis",100,"Toxicodendron radicans",1,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18-1","CapeCod","Scusset","NA",1300436,41.7921,-70.52327,"NA",.25,"9/16/2015",9,2015,1653.25,"0","15","high","55","55",0,"NA","0","0","Phragmites australis",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19-2","CapeCod","Scusset","NA",1301864,41.79228,-70.52343,"NA",.25,"9/16/2015",9,2015,1684.44,"0","8","medium","76","15",1,"NA","0","0","Phragmites australis",94,"Solidago sempervirens",3,"Toxicodendron radicans",1,2,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19-1","CapeCod","Scusset","NA",1301864,41.7923,-70.52346,"NA",.25,"9/16/2015",9,2015,1359.12,"0","8","medium-high","76","25",0,"NA","0","0","Phragmites australis",94,"Rubus hispidus",1,"Toxicodendron radicans",1,2,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19-3","CapeCod","Scusset","NA",1301865,41.79224,-70.52338,"NA",.25,"9/16/2015",9,2015,1766.9,"0","10","medium","76","25",0,"NA","0","0","Phragmites australis",55,"Rubus hispidus",38,"NA",0,1,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20-3","CapeCod","Cheq","NA",2001905,41.92939,-70.07082,"NA",.25,"9/8/2015",9,2015,468.96,"0","0","none","76","7",25,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20-1","CapeCod","Cheq","NA",2001905,41.92952,-70.07092,"NA",.25,"9/8/2015",9,2015,1263.48,"0","0","none","94","3",3,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20-2","CapeCod","Cheq","NA",2001905,41.9294,-70.07102,"NA",.25,"9/8/2015",9,2015,860.32,"0","0","none","76","25",3,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21-1","CapeCod","Cheq","NA",2003335,41.92968,-70.07062,"NA",.25,"9/8/2015",9,2015,640.28,"0","0","none","76","25",7,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21-3","CapeCod","Cheq","NA",2003335,41.92979,-70.07055,"NA",.25,"9/8/2015",9,2015,747.32,"0","0","none","76","15",15,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21-2","CapeCod","Cheq","NA",2003335,41.92971,-70.07047,"NA",.25,"9/8/2015",9,2015,427.04,"0","0","none","76","15",7,"NA","0","0","Spartina alterniflora",76,"Spartina patens",38,"Salicornia europaea",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22-2","CapeCod","Cheq","NA",2004765,41.92993,-70.07014,"NA",.25,"9/8/2015",9,2015,565.44,"0","0","very low","76","15",3,"NA","0","0","Spartina alterniflora",76,"Spartina patens",25,"Salicornia europaea",1,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22-1","CapeCod","Cheq","NA",2004765,41.9299,-70.07032,"NA",.25,"9/8/2015",9,2015,440.84,"0","0","none","55","25",25,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22-3","CapeCod","Cheq","NA",2004765,41.93008,-70.07021,"NA",.25,"9/8/2015",9,2015,691.12,"0","0","none","55","1",55,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23-1","CapeCod","Cheq","NA",2006193,41.9302,-70.0705,"NA",.25,"9/8/2015",9,2015,114.96,"0","0","none","7","1",94,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23-3","CapeCod","Cheq","NA",2006193,41.93032,-70.07054,"NA",.25,"9/8/2015",9,2015,218.48,"0","0","none","7","0",94,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23-2","CapeCod","Cheq","NA",2006193,41.9302,-70.07067,"NA",.25,"9/8/2015",9,2015,285.48,"0","0","none","25","1",76,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24-1","CapeCod","Cheq","NA",2006195,41.93037,-70.06974,"NA",.25,"9/8/2015",9,2015,898.56,"0","0","none","76","7",25,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,2,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24-2","CapeCod","Cheq","NA",2006195,41.93019,-70.0699,"NA",.25,"9/8/2015",9,2015,453.48,"0","0","none","55","25",25,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,2,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24-3","CapeCod","Cheq","NA",2006198,41.93028,-70.06876,"NA",.25,"9/8/2015",9,2015,786.56,"0","0","none","55","15",38,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,1,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25-1","CapeCod","Cheq","NA",2007625,41.93065,-70.06955,"NA",.25,"9/8/2015",9,2015,1424.24,"0","0","none","76","3",38,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25-3","CapeCod","Cheq","NA",2007625,41.93047,-70.06942,"NA",.25,"9/8/2015",9,2015,703.76,"0","0","none","38","3",76,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25-2","CapeCod","Cheq","NA",2007625,41.93056,-70.06947,"NA",.25,"9/8/2015",9,2015,601.04,"0","0","none","25","3",76,"NA","0","0","Spartina alterniflora",100,"NA",0,"NA",0,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28-2","CapeCod","OldCty","NA",2159138,41.95927,-70.05576,"NA",.25,"9/9/2015",9,2015,527.84,"0","7","medium","76","25",1,"NA","0","0","Typha latifolia",38,"Toxicodendron radicans",7,"Spiraea latifolia",7,3,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28-3","CapeCod","OldCty","NA",2159138,41.95927,-70.05597,"NA",.25,"9/9/2015",9,2015,999.4,"0","8","high","76","25",1,"NA","0","0","Typha latifolia",76,"Thelypteris thelypteroides",15,"Toxicodendron radicans",3,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28-1","CapeCod","OldCty","NA",2159138,41.9594,-70.05582,"NA",.25,"9/9/2015",9,2015,1118.2,"0","10","high","94","3",0,"NA","0","0","Typha latifolia",55,"Thelypteris thelypteroides",55,"Toxicodendron radicans",1,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29-1","CapeCod","OldCty","NA",2160567,41.95967,-70.05587,"NA",.25,"9/9/2015",9,2015,943.4,"0","25","very high","55","55",1,"NA","0","0","Typha latifolia",94,"Thelypteris thelypteroides",3,"Toxicodendron radicans",1,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29-2","CapeCod","OldCty","NA",2160567,41.95955,-70.05578,"NA",.25,"9/9/2015",9,2015,637.04,"0","10","very high","94","7",0,"NA","0","0","Typha latifolia",55,"Thelypteris thelypteroides",55,"Spiraea latifolia",1,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29-3","CapeCod","OldCty","NA",2160567,41.95954,-70.05592,"NA",.25,"9/9/2015",9,2015,821.2,"0","15","very high","55","55",0,"NA","0","0","Typha latifolia",76,"Thelypteris thelypteroides",25,"Toxicodendron radicans",1,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30-3","CapeCod","OldCty","NA",2161996,41.95979,-70.05595,"NA",.25,"9/9/2015",9,2015,1463.24,"0","10","very high","25","76",1,"NA","0","0","Typha latifolia",94,"Polygonum arifolium",1,"Polygonum arifolium",1,3,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30-2","CapeCod","OldCty","NA",2161996,41.9598,-70.05572,"NA",.25,"9/9/2015",9,2015,712.92,"0","12","very high","38","76",1,"NA","0","0","Typha latifolia",94,"Thelypteris thelypteroides",7,"Toxicodendron radicans",1,3,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
