"ID","Station Name","River Basin","County","Longitude","Latitude","ElevationFeet","Operator","Map"
"ORM","OLD RIVER UPSTREAM OF MOUNTAIN HOUSE CRK","SAN JOAQUIN RIVER","SAN JOAQUIN","-121.517380","37.793840","5","CA Dept of Water Resources/North Central Region Office",""
"ORX","OLD RIVER ABOVE DOUGHTY CUT","SAN JOAQUIN RIVER","SAN JOAQUIN","-121.386576","37.810997","8","CA Dept of Water Resources/North Central Region Office",""
"OSJ","OLD RIVER AT FRANKS TRACT NEAR TERMINOUS","DELTA","SAN JOAQUIN","-121.578900","38.071100","0","USGS/DWR",""
"PPT","PRISONERS POINT","DELTA","SAN JOAQUIN","-121.562000","38.066000","0","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"RRI","ROUGH AND READY ISLAND","SAN JOAQUIN RIVER","SAN JOAQUIN","-121.365000","37.963000","15","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"RVB","SACRAMENTO RIVER AT RIO VISTA BRIDGE","SACRAMENTO RIVER","SOLANO","-121.686355","38.159737","0","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"RYC","SUISUN BAY – CUTOFF NEAR RYER","DELTA","SOLANO","-121.995878","38.083971","0","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"SJG","SAN JOAQUIN RIVER AT GARWOOD BRIDGE","SAN JOAQUIN RIVER","SAN JOAQUIN","-121.329000","37.935000","13","US Geological Survey",""
"SJR","SAN JOAQUIN R MCCUNE STATION NR VERNALIS","SAN JOAQUIN RIVER","SAN JOAQUIN","-121.265110","37.679290","32","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"SOI","SACRAMENTO R DOWNSTREAM OF ISLETON","SACRAMENTO RIVER","SACRAMENTO","-121.656863","38.175480","5","CA Dept of Water Resources/North Central Region Office",""
"SRH","SACRAMENTO RIVER AT HOOD","SACRAMENTO RIVER","SACRAMENTO","-121.519958","38.367981","4","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"SSI","SACRAMENTO R NR SHERMAN ISLAND","SACRAMENTO RIVER","SACRAMENTO","-121.761736","38.074097","0","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"SXS","STEAMBOAT SLOUGH NR SACRAMENTO R","SACRAMENTO RIVER","SACRAMENTO","-121.637881","38.191267","5","CA Dept of Water Resources/North Central Region Office",""
"TRN","TURNER CUT NEAR HOLT","SAN JOAQUIN RIVER","SAN JOAQUIN","-121.454200","37.992800","0","USGS/DWR",""
"TRP","TRACY PUMPING PLANT","SAN JOAQUIN RIVER","SAN JOAQUIN","-121.585000","37.800000","3","CA Dept of Water Resources/Operations and Maintenance",""
"TWA","OLD RIVER AT TRACY WILDLIFE ASSOCIATION","SAN JOAQUIN RIVER","SAN JOAQUIN","-121.457400","37.802800","0","CA Dept of Water Resources/North Central Region Office",""
"TWI","SAN JOAQUIN RIVER AT TWITCHELL ISLAND","SAN JOAQUIN RIVER","SACRAMENTO","-121.669100","38.096900","0","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"VCU","VICTORIA CANAL NEAR BYRON","DELTA","SAN JOAQUIN","-121.528300","37.871700","0","USGS/DWR",""
"VOL","VOLANTI","DELTA","SOLANO","-122.046000","38.181000","8","CA Dept of Water Resources/Div of Integrated Science and Eng",""
"WCI","WEST CANAL AT CLIFTON COURT INTAKE","SAN JOAQUIN RIVER","CONTRA COSTA","-121.554000","37.831600","0","CA Dept of Water Resources/North Central Region Office",""
