"VisitNo","SampleID_key","SampleID_frp","CommonName","Length","Count","StartTime","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthOfWater","NetMeterEnd","TowDirection","NetMeterStart","SeineCode","SeineDeploymentType","LengthOfTrawl","Width","PercentOpen","GearTypeAbbreviation","effort","LAB_NAME","Location","Date","Comments","FishCatchNotes"
1010,1568,"LAMOPE6-15APR2019","Tule Perch",181,1,"14:14",38.04653,NA,121.84753,NA,1.9,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.3022093,"FRP","Winter Island","2019-04-15"," Vegetation: 90 EURMIL; 10 POTCRI; All CHISAL - Fall-Run; Ad+; kept for Miranda Tillcock at UC Davis;NA;NA",NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",51,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",65,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",49,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",64,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",65,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",64,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",53,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",54,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",63,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",52,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",43,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",61,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",53,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",66,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",65,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",54,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",58,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",56,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",58,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",49,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",64,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",NA,20,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",60,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",50,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",62,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",54,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",60,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",66,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",43,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",66,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1375,"LAMOPE3-3OCT2018","Mississippi Silverside",60,1,"10:56",38.08006,NA,122.01697,NA,3.6576,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",332.7,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Bay Shrimp",NA,4,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Mississippi Silverside",75,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",103,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",70,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",94,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",95,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",82,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",72,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",80,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",83,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1014,1417,"LAMOPE4-3OCT2018","Threadfin Shad",82,1,"11:15",38.08161,NA,122.01416,NA,1.8288,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",215.3667782,"FRP","Ryer Island","2018-10-03",NA,NA
1016,1548,"LAMOPE3-27FEB2019","Golden Shiner",89,1,"09:21",38.08559,NA,121.71561,NA,2.1,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",215.3690475,"FRP","Horseshoe Bend","2019-02-27"," Location: Horseshoe Bends; station not listed on scanned datasheet. Previous environmentals used; GPS changed to match scanned datasheet. Veg: 100 Egeria;NA;NA",NA
1016,1548,"LAMOPE3-27FEB2019","Oriental Shrimp",NA,1,"09:21",38.08559,NA,121.71561,NA,2.1,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",215.3690475,"FRP","Horseshoe Bend","2019-02-27"," Location: Horseshoe Bends; station not listed on scanned datasheet. Previous environmentals used; GPS changed to match scanned datasheet. Veg: 100 Egeria;NA;NA",NA
1029,1539,"LAMOPE1-25FEB2019","Golden Shiner",131,1,"09:02",38.04946,NA,121.85661,NA,2.4,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",241.1913594,"FRP","Winter Island","2019-02-25"," Trace amounts of Egeria and Ceratophyllum caught in net.; Vegetation:40 Egeria; 60 Coontail;NA;NA",NA
1030,1379,"LAMOPE3-6DEC2018","No Catch",NA,0,"11:18",38.11932,NA,121.99815,NA,2.52984,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",249.4555176,"FRP","Grizzly Bay","2018-12-06",NA,NA
1030,1421,"LAMOPE4-6DEC2018","No Catch",NA,0,"11:30",38.11311,NA,122.01465,NA,2.83464,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",273.2329923,"FRP","Grizzly Bay","2018-12-06",NA,NA
1032,1380,"LAMOPE3-7DEC2018","American Shad",80,1,"10:12",38.07593,NA,122.01445,NA,2.4384,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",241.1889156,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Bay Shrimp",NA,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Mississippi Silverside",71,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Mississippi Silverside",57,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Mississippi Silverside",59,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Mississippi Silverside",73,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Mississippi Silverside",68,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Mississippi Silverside",70,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Mississippi Silverside",44,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1032,1422,"LAMOPE4-7DEC2018","Mississippi Silverside",54,1,"10:30",38.08104,NA,122.01732,NA,3.048,0,"3= unknown",NA,"1. No twists; snags; or tears","Boat",36.4,NA,NA,"LAMOPE",288.2326993,"FRP","Ryer Island","2018-12-07",NA,NA
1035,1555,"LAMOPE4-16APR2019","Bluegill",37,1,"12:25",38.0927,NA,121.59025,NA,1.8,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.0132011,"FRP","Webb Tract Islands and Berms","2019-04-16"," Station: Stacy's Exterior  DMC221006: corrected Location to Stacys from z_old_San Joaquin; CHISAL @ 94; Spring-Run; Ad+; Released Alive;NA;NA",NA
1035,1555,"LAMOPE4-16APR2019","Bluegill",48,1,"12:25",38.0927,NA,121.59025,NA,1.8,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.0132011,"FRP","Webb Tract Islands and Berms","2019-04-16"," Station: Stacy's Exterior  DMC221006: corrected Location to Stacys from z_old_San Joaquin; CHISAL @ 94; Spring-Run; Ad+; Released Alive;NA;NA",NA
1035,1555,"LAMOPE4-16APR2019","Bluegill",34,1,"12:25",38.0927,NA,121.59025,NA,1.8,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.0132011,"FRP","Webb Tract Islands and Berms","2019-04-16"," Station: Stacy's Exterior  DMC221006: corrected Location to Stacys from z_old_San Joaquin; CHISAL @ 94; Spring-Run; Ad+; Released Alive;NA;NA",NA
1035,1555,"LAMOPE4-16APR2019","Bluegill",33,1,"12:25",38.0927,NA,121.59025,NA,1.8,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.0132011,"FRP","Webb Tract Islands and Berms","2019-04-16"," Station: Stacy's Exterior  DMC221006: corrected Location to Stacys from z_old_San Joaquin; CHISAL @ 94; Spring-Run; Ad+; Released Alive;NA;NA",NA
1035,1555,"LAMOPE4-16APR2019","Bluegill",35,1,"12:25",38.0927,NA,121.59025,NA,1.8,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.0132011,"FRP","Webb Tract Islands and Berms","2019-04-16"," Station: Stacy's Exterior  DMC221006: corrected Location to Stacys from z_old_San Joaquin; CHISAL @ 94; Spring-Run; Ad+; Released Alive;NA;NA",NA
1035,1555,"LAMOPE4-16APR2019","Bluegill",42,1,"12:25",38.0927,NA,121.59025,NA,1.8,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.0132011,"FRP","Webb Tract Islands and Berms","2019-04-16"," Station: Stacy's Exterior  DMC221006: corrected Location to Stacys from z_old_San Joaquin; CHISAL @ 94; Spring-Run; Ad+; Released Alive;NA;NA",NA
1035,1555,"LAMOPE4-16APR2019","Bluegill",50,1,"12:25",38.0927,NA,121.59025,NA,1.8,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.0132011,"FRP","Webb Tract Islands and Berms","2019-04-16"," Station: Stacy's Exterior  DMC221006: corrected Location to Stacys from z_old_San Joaquin; CHISAL @ 94; Spring-Run; Ad+; Released Alive;NA;NA",NA
1035,1555,"LAMOPE4-16APR2019","Chinook Salmon (run unk)",94,1,"12:25",38.0927,NA,121.59025,NA,1.8,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.0132011,"FRP","Webb Tract Islands and Berms","2019-04-16"," Station: Stacy's Exterior  DMC221006: corrected Location to Stacys from z_old_San Joaquin; CHISAL @ 94; Spring-Run; Ad+; Released Alive;NA;NA",NA
1047,1562,"LAMOPE6-26FEB2019","Black Crappie",154,1,"11:41",38.29877,NA,121.69184,NA,2,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",206.4208247,"FRP","Liberty Island","2019-02-26"," No station or location listed on scanned datasheet; GPS changed to match scanned datasheet; vegetation: 100 Egeria;NA;NA",NA
1047,1562,"LAMOPE6-26FEB2019","Largemouth Bass",287,1,"11:41",38.29877,NA,121.69184,NA,2,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",206.4208247,"FRP","Liberty Island","2019-02-26"," No station or location listed on scanned datasheet; GPS changed to match scanned datasheet; vegetation: 100 Egeria;NA;NA",NA
1047,1562,"LAMOPE6-26FEB2019","Largemouth Bass",286,1,"11:41",38.29877,NA,121.69184,NA,2,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",206.4208247,"FRP","Liberty Island","2019-02-26"," No station or location listed on scanned datasheet; GPS changed to match scanned datasheet; vegetation: 100 Egeria;NA;NA",NA
1047,1562,"LAMOPE6-26FEB2019","Mississippi Silverside",61,1,"11:41",38.29877,NA,121.69184,NA,2,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",206.4208247,"FRP","Liberty Island","2019-02-26"," No station or location listed on scanned datasheet; GPS changed to match scanned datasheet; vegetation: 100 Egeria;NA;NA",NA
1047,1562,"LAMOPE6-26FEB2019","Oriental Shrimp",NA,1,"11:41",38.29877,NA,121.69184,NA,2,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",206.4208247,"FRP","Liberty Island","2019-02-26"," No station or location listed on scanned datasheet; GPS changed to match scanned datasheet; vegetation: 100 Egeria;NA;NA",NA
1047,1562,"LAMOPE6-26FEB2019","Redear",186,1,"11:41",38.29877,NA,121.69184,NA,2,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",206.4208247,"FRP","Liberty Island","2019-02-26"," No station or location listed on scanned datasheet; GPS changed to match scanned datasheet; vegetation: 100 Egeria;NA;NA",NA
1052,1561,"LAMOPE5-26FEB2019","Black Crappie",123,1,"11:02",38.28417,NA,121.69236,NA,1.5,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",159.1238203,"FRP","Shag Slough","2019-02-26"," Location and station not listed on scanned datasheet; DMC221102: changed location from Lookout; Changed GPS to match scanned datasheet; vegetation 95 Egeria; 5 coontail;NA;NA",NA
1052,1561,"LAMOPE5-26FEB2019","Black Crappie",141,1,"11:02",38.28417,NA,121.69236,NA,1.5,NA,NA,NA,"1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",159.1238203,"FRP","Shag Slough","2019-02-26"," Location and station not listed on scanned datasheet; DMC221102: changed location from Lookout; Changed GPS to match scanned datasheet; vegetation 95 Egeria; 5 coontail;NA;NA",NA
