Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
140,Twitchell Island,San Francisco Bay,6/3/2018,154,7.55, ,0.00, ,353, ,1.4, ,34.7, ,12.0, ,25.1, ,83, ,25, ,44, ,12.2, ,2.3, ,202.9, ,21.9, 
140,Twitchell Island,San Francisco Bay,6/4/2018,155,8.70, ,0.00, ,354, ,1.2, ,28.5, ,15.7, ,21.8, ,60, ,27, ,44, ,9.0, ,5.3, ,461.2, ,22.0, 
140,Twitchell Island,San Francisco Bay,6/5/2018,156,7.26, ,0.00, ,366,R,1.1, ,27.0, ,13.6, ,19.2, ,65, ,33, ,51, ,8.7, ,4.1, ,351.4, ,21.5, 
140,Twitchell Island,San Francisco Bay,6/6/2018,157,6.45, ,0.00, ,349, ,1.2, ,24.2, ,11.3, ,17.5, ,80, ,48, ,62, ,10.2, ,3.5, ,304.7, ,21.1, 
140,Twitchell Island,San Francisco Bay,6/7/2018,158,6.70, ,0.00, ,352, ,1.3, ,25.3, ,12.1, ,18.5, ,85, ,44, ,61, ,10.9, ,3.9, ,337.3, ,21.0, 
140,Twitchell Island,San Francisco Bay,6/8/2018,159,8.06, ,0.00, ,356, ,1.2, ,28.3, ,14.1, ,20.5, ,70, ,34, ,50, ,9.7, ,5.4, ,470.3, ,21.3, 
140,Twitchell Island,San Francisco Bay,6/9/2018,160,6.47, ,0.00, ,316, ,1.3, ,23.1, ,13.2, ,18.1, ,85, ,46, ,63, ,10.8, ,4.4, ,383.6, ,21.2, 
140,Twitchell Island,San Francisco Bay,6/10/2018,161,7.17, ,0.00, ,360, ,1.0, ,25.9, ,11.3, ,18.5, ,74, ,24, ,45, ,6.3, ,3.7, ,323.9, ,21.0, 
140,Twitchell Island,San Francisco Bay,6/11/2018,162,7.54, ,0.00, ,359, ,1.2, ,31.4, ,14.3, ,22.5, ,63, ,28, ,46, ,10.3, ,3.6, ,312.5, ,21.5, 
140,Twitchell Island,San Francisco Bay,6/12/2018,163,8.04, ,0.00, ,361, ,1.4, ,34.3, ,15.5, ,25.6, ,72, ,25, ,43, ,11.9, ,3.2, ,275.0, ,22.5, 
140,Twitchell Island,San Francisco Bay,6/13/2018,164,8.03, ,0.00, ,364,R,1.4, ,33.6, ,17.0, ,24.6, ,65, ,30, ,45, ,12.0, ,3.5, ,303.9, ,23.0, 
140,Twitchell Island,San Francisco Bay,6/14/2018,165,7.41, ,0.00, ,365,R,1.2, ,30.4, ,14.1, ,21.7, ,73, ,32, ,48, ,10.0, ,3.3, ,288.7, ,23.0, 
140,Twitchell Island,San Francisco Bay,6/15/2018,166,6.90, ,0.00, ,356, ,1.3, ,25.9, ,13.1, ,18.8, ,85, ,40, ,60, ,11.0, ,3.7, ,322.9, ,22.6, 
140,Twitchell Island,San Francisco Bay,6/16/2018,167,6.65, ,0.00, ,358, ,1.4, ,25.1, ,12.8, ,17.6, ,86, ,51, ,67, ,11.5, ,4.5, ,389.9, ,22.1, 
140,Twitchell Island,San Francisco Bay,6/17/2018,168,5.70, ,0.00, ,329, ,1.3, ,25.7, ,11.1, ,18.4, ,84, ,44, ,62, ,11.0, ,2.8, ,238.4, ,21.8, 
140,Twitchell Island,San Francisco Bay,6/18/2018,169,7.11, ,0.00, ,353, ,1.4, ,28.4, ,14.0, ,19.9, ,87, ,38, ,61, ,12.3, ,4.8, ,414.5, ,22.1, 
140,Twitchell Island,San Francisco Bay,6/19/2018,170,7.38, ,0.00, ,355, ,1.5, ,30.1, ,13.8, ,20.7, ,86, ,40, ,60, ,12.6, ,4.7, ,406.1, ,22.4, 
140,Twitchell Island,San Francisco Bay,6/20/2018,171,7.60, ,0.00, ,369,R,1.3, ,27.5, ,12.8, ,19.4, ,86, ,34, ,57, ,10.7, ,5.0, ,431.0, ,22.4, 
140,Twitchell Island,San Francisco Bay,6/21/2018,172,7.53, ,0.00, ,367,R,1.3, ,32.3, ,13.5, ,22.2, ,74, ,30, ,48, ,10.7, ,3.5, ,298.8, ,22.4, 
140,Twitchell Island,San Francisco Bay,6/22/2018,173,7.94, ,0.00, ,361, ,1.3, ,38.9, ,16.9, ,26.7, ,64, ,24, ,38, ,11.4, ,2.5, ,219.8, ,23.2, 
140,Twitchell Island,San Francisco Bay,6/23/2018,174,9.07, ,0.00, ,361, ,1.3, ,39.3, ,19.5, ,29.7,Y,50, ,19, ,31,Y,10.8,Y,3.2, ,278.0, ,24.1, 
140,Twitchell Island,San Francisco Bay,6/24/2018,175,8.48, ,0.00, ,356, ,1.5, ,27.8, ,15.4, ,21.3, ,85, ,38, ,58, ,12.8, ,7.2,Y,624.0,Y,24.1, 
140,Twitchell Island,San Francisco Bay,6/25/2018,176,6.98, ,0.00, ,353, ,1.5, ,27.0, ,14.8, ,20.1, ,86, ,46, ,63, ,12.7, ,4.9, ,421.3, ,23.2, 
140,Twitchell Island,San Francisco Bay,6/26/2018,177,7.51, ,0.00, ,362, ,1.3, ,31.9, ,13.8, ,22.2, ,76, ,24, ,47, ,10.4, ,3.1, ,269.5, ,23.2, 
140,Twitchell Island,San Francisco Bay,6/27/2018,178,7.20, ,0.00, ,365,R,1.4, ,27.5, ,13.4, ,19.3, ,86, ,41, ,61, ,11.6, ,4.2, ,362.9, ,23.2, 
140,Twitchell Island,San Francisco Bay,6/28/2018,179,7.66, ,0.00, ,356, ,1.2, ,29.3, ,13.1, ,21.2, ,82, ,33, ,50, ,10.2, ,3.9, ,339.6, ,23.0, 
140,Twitchell Island,San Francisco Bay,6/29/2018,180,8.24, ,0.00, ,355, ,1.3, ,34.0, ,15.8, ,24.6, ,69, ,26, ,43, ,11.3, ,3.9, ,335.8, ,23.5, 
140,Twitchell Island,San Francisco Bay,6/30/2018,181,8.55, ,0.00, ,353, ,1.4, ,38.9,Y,15.8, ,27.3, ,70, ,20, ,38, ,11.7, ,3.2, ,278.2, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/1/2018,182,8.31, ,0.00, ,348, ,1.5, ,29.4, ,15.3, ,21.6, ,86, ,40, ,60, ,13.4, ,6.8, ,584.8, ,24.3, 
140,Twitchell Island,San Francisco Bay,7/2/2018,183,6.49, ,0.00, ,284, ,1.5, ,26.1, ,14.5, ,19.1, ,89, ,48, ,68, ,13.1, ,5.9, ,511.8, ,23.2, 
140,Twitchell Island,San Francisco Bay,7/3/2018,184,5.87, ,0.00, ,285, ,1.5, ,27.7, ,14.0, ,19.6, ,88, ,43, ,64, ,12.6, ,4.3, ,373.8, ,23.0, 
140,Twitchell Island,San Francisco Bay,7/4/2018,185,6.64, ,0.00, ,355, ,1.4, ,23.7, ,13.7, ,18.0, ,84, ,53, ,67, ,11.8, ,4.8, ,418.7, ,22.9, 
140,Twitchell Island,San Francisco Bay,7/5/2018,186,6.80, ,0.00, ,361,R,1.3, ,31.5, ,12.7, ,21.5, ,91, ,24, ,52, ,11.2, ,3.0, ,256.4, ,22.9, 
140,Twitchell Island,San Francisco Bay,7/6/2018,187,6.82, ,0.00, ,273, ,1.4, ,35.0, ,18.1, ,25.2, ,64, ,24, ,43, ,11.6, ,3.2, ,273.1, ,23.5, 
140,Twitchell Island,San Francisco Bay,7/7/2018,188,8.55, ,0.00, ,340, ,1.1, ,34.5, ,18.7, ,25.6, ,60, ,15, ,34, ,8.8, ,3.7, ,323.4, ,23.9, 
140,Twitchell Island,San Francisco Bay,7/8/2018,189,8.83, ,0.00, ,335, ,1.0,Y,33.3, ,18.2, ,25.0, ,58, ,14, ,33,Y,7.5,Y,4.3, ,368.8, ,23.8, 
140,Twitchell Island,San Francisco Bay,7/9/2018,190,8.69, ,0.00, ,325, ,1.1, ,35.2, ,16.8, ,25.6, ,56, ,21, ,33, ,8.2, ,4.3, ,372.6, ,23.8, 
140,Twitchell Island,San Francisco Bay,7/10/2018,191,8.77, ,0.00, ,346, ,1.2, ,34.9, ,19.0, ,26.2, ,57, ,23, ,36, ,10.0, ,3.9, ,335.8, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/11/2018,192,7.40, ,0.00, ,347, ,1.4, ,34.8, ,14.4, ,24.4, ,80, ,21, ,45, ,11.6, ,2.5, ,219.4, ,24.1, 
140,Twitchell Island,San Francisco Bay,7/12/2018,193,8.19, ,0.00, ,326, ,1.3, ,33.1, ,16.5, ,24.2, ,79, ,23, ,44, ,11.1, ,4.7, ,409.2, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/13/2018,194,8.41, ,0.00, ,295, ,1.4, ,33.2, ,19.8, ,25.4, ,61, ,30, ,42, ,11.7, ,5.0, ,434.1, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/14/2018,195,8.43, ,0.00, ,312, ,1.5, ,31.6, ,17.4, ,23.3, ,73, ,29, ,51, ,12.6, ,6.5, ,560.0, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/15/2018,196,7.32, ,0.00, ,299, ,1.4, ,29.7, ,15.6, ,21.8, ,81, ,36, ,55, ,12.3, ,6.1, ,524.1, ,23.8, 
140,Twitchell Island,San Francisco Bay,7/16/2018,197,8.05, ,0.00, ,322, ,1.4, ,33.7, ,15.0, ,23.0, ,82, ,24, ,49, ,11.8, ,5.8, ,500.5, ,23.7, 
140,Twitchell Island,San Francisco Bay,7/17/2018,198,7.70, ,0.00, ,321, ,1.4, ,34.6, ,15.1, ,24.2, ,82, ,22, ,48, ,12.4, ,4.8, ,412.0, ,23.9, 
140,Twitchell Island,San Francisco Bay,7/18/2018,199,7.20, ,0.00, ,296, ,1.6, ,35.8, ,14.3, ,24.9, ,85, ,28, ,50, ,13.7, ,3.8, ,328.7, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/19/2018,200,7.49, ,0.00, ,305, ,1.4, ,35.0, ,16.0, ,24.0, ,84, ,22, ,46, ,11.6, ,4.2, ,363.4, ,24.4, 
140,Twitchell Island,San Francisco Bay,7/20/2018,201,7.13, ,0.00, ,308, ,1.6, ,32.2, ,15.6, ,23.5, ,83, ,36, ,55, ,13.9, ,3.9, ,338.0, ,24.3, 
140,Twitchell Island,San Francisco Bay,7/21/2018,202,8.25, ,0.00, ,306, ,1.4, ,31.0, ,17.2, ,23.6, ,83, ,26, ,48, ,12.0, ,5.6, ,480.2, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/22/2018,203,7.80, ,0.00, ,302, ,1.5, ,31.6, ,16.8, ,23.1, ,84, ,28, ,54, ,13.3, ,6.1, ,527.2, ,24.0, 
140,Twitchell Island,San Francisco Bay,7/23/2018,204,7.39, ,0.00, ,277, ,1.5, ,33.9, ,17.7, ,24.3, ,72, ,29, ,48, ,12.6, ,5.3, ,454.9, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/24/2018,205,8.38, ,0.00, ,329, ,1.5, ,33.9, ,17.3, ,24.5, ,78, ,32, ,50, ,13.4, ,5.4, ,470.5, ,24.4, 
140,Twitchell Island,San Francisco Bay,7/25/2018,206,9.19, ,0.00, ,335, ,1.3, ,34.9, ,18.1, ,25.8, ,67, ,23, ,40, ,11.2, ,5.4, ,463.3, ,24.5, 
140,Twitchell Island,San Francisco Bay,7/26/2018,207,8.83, ,0.00, ,321, ,1.4, ,33.7, ,17.1, ,24.3, ,70, ,27, ,46, ,12.1, ,6.0, ,520.0, ,24.5, 
140,Twitchell Island,San Francisco Bay,7/27/2018,208,8.14, ,0.00, ,331, ,1.4, ,32.5, ,15.7, ,22.8, ,78, ,28, ,51, ,12.0, ,5.9, ,513.6, ,24.2, 
140,Twitchell Island,San Francisco Bay,7/28/2018,209,7.53, ,0.00, ,307, ,1.4, ,33.9, ,15.3, ,23.3, ,78, ,31, ,50, ,12.3, ,4.7, ,405.0, ,24.1, 
140,Twitchell Island,San Francisco Bay,7/29/2018,210,6.76, ,0.00, ,249, ,1.4, ,32.2, ,15.8, ,22.6, ,77, ,30, ,50, ,11.7, ,5.0, ,427.7, ,23.8, 
140,Twitchell Island,San Francisco Bay,7/30/2018,211,7.34, ,0.00, ,281, ,1.4, ,33.2, ,16.4, ,23.7, ,74, ,28, ,47, ,11.9, ,4.8, ,412.6, ,23.7, 
140,Twitchell Island,San Francisco Bay,7/31/2018,212,7.85, ,0.00, ,297, ,1.4, ,32.7, ,16.9, ,24.1, ,70, ,29, ,46, ,11.8, ,4.7, ,409.4, ,23.9, 
140,Twitchell Island,San Francisco Bay,8/1/2018,213,8.03, ,0.00, ,311, ,1.3, ,31.5, ,15.9, ,23.2, ,73, ,25, ,45, ,10.5, ,4.9, ,421.0, ,23.9, 
140,Twitchell Island,San Francisco Bay,8/2/2018,214,7.93, ,0.00, ,319, ,1.3, ,31.7, ,15.7, ,22.7, ,71, ,27, ,46, ,10.4, ,5.1, ,443.1, ,23.7, 
140,Twitchell Island,San Francisco Bay,8/3/2018,215,6.78, ,0.00, ,287, ,1.3, ,34.8, ,11.1, ,23.9, ,86, ,26, ,43, ,10.5, ,2.9, ,254.1, ,23.5, 
140,Twitchell Island,San Francisco Bay,8/4/2018,216,8.55, ,0.00, ,301, ,1.1,Y,34.0, ,19.8,Y,25.8, ,53, ,21, ,34,Y,8.8,Y,4.4, ,375.9, ,23.9, 
140,Twitchell Island,San Francisco Bay,8/5/2018,217,7.05, ,0.00, ,269, ,1.2, ,31.1, ,17.4, ,23.3, ,62, ,28, ,43, ,10.0, ,4.2, ,362.7, ,23.8, 
140,Twitchell Island,San Francisco Bay,8/6/2018,218,7.63, ,0.00, ,276, ,1.2, ,33.9, ,17.3, ,24.7, ,63, ,23, ,37, ,9.2, ,4.1, ,351.7, ,23.7, 
140,Twitchell Island,San Francisco Bay,8/7/2018,219,6.93, ,0.00, ,246, ,1.2, ,29.7, ,17.8, ,23.3, ,62, ,28, ,42, ,9.7, ,4.2, ,363.1, ,23.6, 
140,Twitchell Island,San Francisco Bay,8/8/2018,220,6.00, ,0.00, ,278, ,1.5, ,33.8, ,16.0, ,23.3, ,77, ,32, ,52, ,12.9, ,2.7, ,230.3, ,23.6, 
140,Twitchell Island,San Francisco Bay,8/9/2018,221,6.43, ,0.00, ,298, ,1.5, ,36.0, ,15.8, ,25.4, ,74, ,26, ,47, ,13.2, ,2.0, ,169.1, ,23.9, 
140,Twitchell Island,San Francisco Bay,8/10/2018,222,7.38, ,0.00, ,270, ,1.3, ,34.7, ,17.0, ,26.4, ,66, ,25, ,38, ,10.9, ,3.3, ,285.3, ,24.1, 
140,Twitchell Island,San Francisco Bay,8/11/2018,223,9.03,R,0.00, ,301, ,1.2, ,34.4, ,21.8,R,26.9, ,45, ,19, ,33, ,9.2, ,4.6, ,399.0, ,24.3, 
140,Twitchell Island,San Francisco Bay,8/12/2018,224,6.77, ,0.00, ,298, ,1.3, ,34.0, ,13.7, ,24.5, ,76, ,22, ,44, ,11.4, ,2.4, ,203.9, ,24.1, 
140,Twitchell Island,San Francisco Bay,8/13/2018,225,6.67, ,0.00, ,299, ,1.5, ,29.6, ,15.9, ,21.8, ,80, ,32, ,56, ,12.7, ,3.7, ,320.5, ,24.0, 
140,Twitchell Island,San Francisco Bay,8/14/2018,226,6.19, ,0.00, ,297, ,1.5, ,26.7, ,13.9, ,19.6, ,82, ,47, ,66, ,13.2, ,4.9, ,419.2, ,23.5, 
140,Twitchell Island,San Francisco Bay,8/15/2018,227,6.24, ,0.00, ,296, ,1.5, ,28.1, ,15.6, ,20.4, ,83, ,43, ,65, ,13.5, ,4.8, ,415.0, ,23.2, 
140,Twitchell Island,San Francisco Bay,8/16/2018,228,6.24, ,0.00, ,271, ,1.5, ,31.7, ,16.3, ,22.6, ,82, ,28, ,53, ,12.6, ,4.2, ,359.9, ,23.3, 
140,Twitchell Island,San Francisco Bay,8/17/2018,229,6.82, ,0.00, ,298, ,1.3, ,35.0, ,15.5, ,24.1, ,83, ,16, ,42, ,10.4, ,3.3, ,282.7, ,23.6, 
140,Twitchell Island,San Francisco Bay,8/18/2018,230,7.28, ,0.00, ,305, ,1.2, ,36.5, ,12.8, ,25.1, ,79, ,19, ,38, ,9.6, ,3.0, ,258.2, ,23.5, 
140,Twitchell Island,San Francisco Bay,8/19/2018,231,6.94, ,0.00, ,302, ,1.3, ,33.6, ,12.9, ,22.9, ,81, ,24, ,46, ,10.8, ,3.4, ,291.8, ,23.6, 
140,Twitchell Island,San Francisco Bay,8/20/2018,232,6.19, ,0.00, ,299, ,1.4, ,29.8, ,13.9, ,20.1, ,88, ,37, ,61, ,12.4, ,4.2, ,365.3, ,23.3, 
140,Twitchell Island,San Francisco Bay,8/21/2018,233,5.19, ,0.00, ,269, ,1.5, ,23.1, ,13.9, ,17.6, ,88, ,58, ,75, ,13.0, ,5.7, ,496.0, ,22.7, 
140,Twitchell Island,San Francisco Bay,8/22/2018,234,5.68, ,0.00, ,278, ,1.5, ,26.7, ,15.6, ,19.7, ,85, ,46, ,67, ,13.5, ,4.8, ,418.2, ,22.5, 
140,Twitchell Island,San Francisco Bay,8/23/2018,235,5.82, ,0.00, ,270, ,1.4, ,25.1, ,15.0, ,18.8, ,81, ,45, ,66, ,12.2, ,5.6, ,480.7, ,22.3, 
140,Twitchell Island,San Francisco Bay,8/24/2018,236,5.05, ,0.00, ,260, ,1.5, ,26.1, ,14.4, ,18.7, ,85, ,47, ,69, ,12.8, ,4.0, ,345.1, ,22.1, 
140,Twitchell Island,San Francisco Bay,8/25/2018,237,5.20, ,0.00, ,265, ,1.4, ,29.8, ,13.3, ,19.7, ,93, ,34, ,63, ,12.4, ,2.9, ,254.8, ,22.1, 
140,Twitchell Island,San Francisco Bay,8/26/2018,238,5.82, ,0.00, ,296, ,1.4, ,26.9, ,13.4, ,18.7, ,89, ,40, ,65, ,12.0, ,4.6, ,398.4, ,22.1, 
140,Twitchell Island,San Francisco Bay,8/27/2018,239,5.30, ,0.00, ,277, ,1.5, ,24.6, ,14.3, ,18.6, ,86, ,54, ,70, ,13.1, ,4.7, ,407.5, ,22.0, 
140,Twitchell Island,San Francisco Bay,8/28/2018,240,5.38, ,0.00, ,279, ,1.5, ,23.6, ,14.9, ,18.4, ,86, ,57, ,71, ,13.0, ,5.0, ,432.0, ,21.9, 
140,Twitchell Island,San Francisco Bay,8/29/2018,241,5.58, ,0.00, ,281, ,1.5, ,25.4, ,15.5, ,19.3, ,85, ,48, ,67, ,12.9, ,4.5, ,388.7, ,21.9, 
140,Twitchell Island,San Francisco Bay,8/30/2018,242,4.39, ,0.00, ,242, ,1.5, ,25.0, ,11.7, ,18.6, ,95, ,46, ,68, ,12.7, ,2.6, ,226.6, ,21.7, 
140,Twitchell Island,San Francisco Bay,8/31/2018,243,5.52, ,0.00, ,273, ,1.5, ,30.3, ,15.0, ,21.1, ,86, ,36, ,60, ,13.1, ,3.6, ,307.4, ,21.9, 
140,Twitchell Island,San Francisco Bay,9/1/2018,244,6.25, ,0.00, ,267, ,1.4, ,30.1, ,15.5, ,22.0, ,78, ,34, ,54, ,12.3, ,4.6, ,396.7, ,22.2, 
140,Twitchell Island,San Francisco Bay,9/2/2018,245,5.88, ,0.00, ,266, ,1.5, ,34.3, ,13.2, ,22.5, ,85, ,30, ,53, ,12.5, ,3.2, ,274.1, ,22.3, 
140,Twitchell Island,San Francisco Bay,9/3/2018,246,5.83, ,0.00, ,258, ,1.5, ,29.4, ,14.3, ,20.4, ,87, ,38, ,61, ,12.7, ,5.1, ,437.2, ,22.2, 
140,Twitchell Island,San Francisco Bay,9/4/2018,247,5.63, ,0.00, ,264, ,1.5, ,31.2, ,14.5, ,21.0, ,87, ,30, ,59, ,12.6, ,4.3, ,368.3, ,22.1, 
140,Twitchell Island,San Francisco Bay,9/5/2018,248,5.45, ,0.00, ,265, ,1.5, ,25.9, ,14.3, ,18.8, ,89, ,45, ,68, ,12.7, ,5.2, ,450.9, ,21.9, 
140,Twitchell Island,San Francisco Bay,9/6/2018,249,5.68, ,0.00, ,274, ,1.4, ,29.6, ,13.4, ,20.2, ,90, ,33, ,60, ,12.2, ,4.6, ,399.3, ,21.6, 
140,Twitchell Island,San Francisco Bay,9/7/2018,250,5.99, ,0.00, ,271, ,1.4, ,34.2, ,14.7, ,23.7, ,79, ,24, ,47, ,11.6, ,2.9, ,252.4, ,22.0, 
