Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
140,Twitchell Island,San Francisco Bay,5/2/2018,0800,122,0.23, ,0.00, ,452, ,1.2, ,14.1, ,74, ,9.5, ,2.6, ,234, ,15.5, 
140,Twitchell Island,San Francisco Bay,5/2/2018,0900,122,0.38, ,0.00, ,669, ,1.2, ,15.7, ,67, ,9.6, ,2.5, ,238, ,15.5, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1000,122,0.52, ,0.00, ,837, ,1.2, ,17.4, ,62, ,10.0, ,2.1, ,243, ,15.5, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1100,122,0.63, ,0.00, ,948, ,1.3, ,19.3, ,57, ,10.5, ,2.6, ,200, ,15.6, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1200,122,0.70, ,0.00, ,1005, ,1.3, ,20.8, ,52, ,10.6, ,2.8, ,216, ,15.9, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1300,122,0.74, ,0.00, ,1004, ,1.3, ,22.2, ,48, ,10.7, ,3.4, ,233, ,16.3, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1400,122,0.71, ,0.00, ,950, ,1.3, ,22.9, ,46, ,10.9, ,3.7, ,239, ,16.8, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1500,122,0.65, ,0.00, ,838, ,1.3, ,23.2, ,47, ,11.2, ,4.5, ,232, ,17.2, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1600,122,0.54, ,0.00, ,676, ,1.3, ,22.4, ,49, ,11.2, ,5.8, ,228, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1700,122,0.37, ,0.00, ,475, ,1.4, ,20.6, ,56, ,11.5, ,6.4, ,228, ,17.7, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1800,122,0.23, ,0.00, ,257, ,1.4, ,19.3, ,61, ,11.5, ,6.1, ,223, ,17.9, 
140,Twitchell Island,San Francisco Bay,5/2/2018,1900,122,0.08, ,0.00, ,64, ,1.3, ,18.0, ,63, ,10.9, ,5.6, ,222, ,17.9, 
140,Twitchell Island,San Francisco Bay,5/2/2018,2000,122,0.03, ,0.00, ,1, ,1.3, ,16.6, ,66, ,10.3, ,4.9, ,215, ,17.8, 
140,Twitchell Island,San Francisco Bay,5/2/2018,2100,122,0.02, ,0.00, ,0, ,1.2, ,15.2, ,70, ,9.8, ,5.2, ,213, ,17.7, 
140,Twitchell Island,San Francisco Bay,5/2/2018,2200,122,0.02, ,0.00, ,0, ,1.2, ,14.5, ,70, ,9.2, ,5.9, ,221, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/2/2018,2300,122,0.02, ,0.00, ,0, ,1.1, ,13.6, ,74, ,9.0, ,6.1, ,228, ,17.3, 
140,Twitchell Island,San Francisco Bay,5/2/2018,2400,122,0.00, ,0.00, ,0, ,1.2, ,12.7, ,79, ,9.1, ,6.2, ,231, ,17.1, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0100,123,0.00, ,0.00, ,0, ,1.2, ,11.8, ,85, ,9.3, ,6.5, ,232, ,16.9, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0200,123,0.00, ,0.00, ,0, ,1.2, ,11.4, ,87, ,9.4, ,5.9, ,228, ,16.8, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0300,123,0.00, ,0.00, ,0, ,1.2, ,11.2, ,90, ,9.6, ,6.2, ,222, ,16.6, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0400,123,0.00, ,0.00, ,0, ,1.2, ,11.1, ,90, ,9.5, ,5.6, ,219, ,16.4, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0500,123,0.00, ,0.00, ,0, ,1.2, ,11.2, ,89, ,9.5, ,5.9, ,219, ,16.2, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0600,123,0.01, ,0.00, ,42, ,1.2, ,11.5, ,87, ,9.4, ,5.8, ,219, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0700,123,0.13, ,0.00, ,228, ,1.2, ,12.2, ,83, ,9.5, ,5.7, ,217, ,15.9, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0800,123,0.27, ,0.00, ,488, ,1.2, ,13.2, ,80, ,9.8, ,6.2, ,218, ,15.8, 
140,Twitchell Island,San Francisco Bay,5/3/2018,0900,123,0.41, ,0.00, ,693, ,1.2, ,13.9, ,77, ,10.0, ,6.4, ,220, ,15.7, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1000,123,0.49, ,0.00, ,796, ,1.3, ,14.7, ,75, ,10.3, ,6.8, ,225, ,15.7, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1100,123,0.61, ,0.00, ,942, ,1.3, ,16.0, ,71, ,10.7, ,6.4, ,224, ,15.8, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1200,123,0.69, ,0.00, ,1002, ,1.3, ,17.5, ,65, ,10.9, ,6.3, ,230, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1300,123,0.73, ,0.00, ,1005, ,1.3, ,18.7, ,60, ,10.9, ,6.5, ,231, ,16.4, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1400,123,0.70, ,0.00, ,952, ,1.4, ,19.8, ,59, ,11.5, ,6.0, ,233, ,16.8, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1500,123,0.62, ,0.00, ,843, ,1.4, ,20.3, ,57, ,11.6, ,5.8, ,233, ,17.1, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1600,123,0.46, ,0.00, ,642, ,1.3, ,20.9, ,54, ,11.3, ,4.4, ,234, ,17.3, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1700,123,0.33, ,0.00, ,446, ,1.3, ,20.6, ,56, ,11.4, ,3.8, ,238, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1800,123,0.20, ,0.00, ,254, ,1.3, ,20.0, ,56, ,11.0, ,3.4, ,240, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/3/2018,1900,123,0.05, ,0.00, ,36, ,1.3, ,17.2, ,67, ,11.2, ,4.7, ,229, ,17.7, 
140,Twitchell Island,San Francisco Bay,5/3/2018,2000,123,0.00, ,0.00, ,1, ,1.3, ,14.7, ,78, ,10.9, ,4.9, ,232, ,17.7, 
140,Twitchell Island,San Francisco Bay,5/3/2018,2100,123,0.00, ,0.00, ,0, ,1.3, ,13.6, ,82, ,10.5, ,5.4, ,228, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/3/2018,2200,123,0.00, ,0.00, ,0, ,1.3, ,13.1, ,84, ,10.4, ,6.1, ,230, ,17.4, 
140,Twitchell Island,San Francisco Bay,5/3/2018,2300,123,0.00, ,0.00, ,0, ,1.2, ,12.8, ,83, ,10.0, ,6.0, ,234, ,17.2, 
140,Twitchell Island,San Francisco Bay,5/3/2018,2400,123,0.00, ,0.00, ,0, ,1.2, ,12.5, ,85, ,10.1, ,6.3, ,233, ,17.0, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0100,124,0.01, ,0.00, ,0, ,1.2, ,12.2, ,86, ,9.9, ,7.0, ,221, ,16.8, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0200,124,0.01, ,0.00, ,0, ,1.2, ,11.8, ,86, ,9.5, ,6.5, ,219, ,16.6, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0300,124,0.00, ,0.00, ,0, ,1.2, ,11.9, ,84, ,9.3, ,4.3, ,211, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0400,124,0.00, ,0.00, ,0, ,1.1, ,10.8, ,87, ,8.7, ,1.5, ,184, ,16.3, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0500,124,0.00, ,0.00, ,0, ,1.1, ,9.4, ,93, ,8.3, ,1.1, ,256, ,16.2, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0600,124,0.01, ,0.00, ,39, ,1.2, ,11.2, ,90, ,9.7, ,3.2, ,219, ,16.0, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0700,124,0.10, ,0.00, ,185, ,1.2, ,12.1, ,87, ,9.9, ,2.5, ,229, ,15.8, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0800,124,0.23, ,0.00, ,454, ,1.3, ,14.0, ,79, ,10.4, ,3.2, ,246, ,15.7, 
140,Twitchell Island,San Francisco Bay,5/4/2018,0900,124,0.38, ,0.00, ,656, ,1.3, ,16.5, ,71, ,11.2, ,2.3, ,246, ,15.6, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1000,124,0.54, ,0.00, ,841, ,1.4, ,19.4, ,61, ,11.8, ,1.8, ,277, ,15.6, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1100,124,0.65, ,0.00, ,950, ,1.5, ,21.8, ,59, ,13.4, ,1.9, ,296, ,15.8, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1200,124,0.74, ,0.00, ,1021, ,1.6, ,23.9, ,53, ,13.8, ,2.2, ,288, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1300,124,0.70, ,0.00, ,942, ,1.6, ,25.3, ,48, ,13.7, ,2.3, ,280, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1400,124,0.66, ,0.00, ,844, ,1.5, ,26.3, ,43, ,12.6, ,2.3, ,257, ,17.1, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1500,124,0.65, ,0.00, ,835, ,1.5, ,27.2, ,43, ,13.5, ,2.7, ,217, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1600,124,0.52, ,0.00, ,665, ,1.3, ,27.2, ,35, ,10.5, ,2.9, ,234, ,17.8, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1700,124,0.36, ,0.00, ,479, ,1.1, ,27.4, ,31, ,8.5, ,2.5, ,242, ,18.1, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1800,124,0.23, ,0.00, ,260, ,1.1, ,25.8, ,33, ,8.5, ,2.5, ,242, ,18.4, 
140,Twitchell Island,San Francisco Bay,5/4/2018,1900,124,0.06, ,0.00, ,51, ,1.3, ,21.8, ,51, ,11.2, ,2.1, ,230, ,18.5, 
140,Twitchell Island,San Francisco Bay,5/4/2018,2000,124,0.01, ,0.00, ,0, ,1.4, ,19.0, ,65, ,12.2, ,3.1, ,231, ,18.5, 
140,Twitchell Island,San Francisco Bay,5/4/2018,2100,124,0.02, ,0.00, ,0, ,1.2, ,17.1, ,63, ,10.1, ,4.1, ,229, ,18.4, 
140,Twitchell Island,San Francisco Bay,5/4/2018,2200,124,0.04, ,0.00, ,0, ,1.1, ,16.4, ,59, ,8.3, ,4.6, ,224, ,18.2, 
140,Twitchell Island,San Francisco Bay,5/4/2018,2300,124,0.05, ,0.00, ,0, ,1.1, ,16.2, ,57, ,7.7, ,5.1, ,231, ,18.0, 
140,Twitchell Island,San Francisco Bay,5/4/2018,2400,124,0.04, ,0.00, ,0, ,1.1, ,16.0, ,61, ,8.5, ,5.2, ,238, ,17.8, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0100,125,0.05, ,0.00, ,0, ,1.1, ,15.1, ,66, ,8.8, ,4.8, ,241, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0200,125,0.04, ,0.00, ,0, ,1.1, ,14.8, ,68, ,8.8, ,4.0, ,237, ,17.4, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0300,125,0.05, ,0.00, ,0, ,1.1, ,15.1, ,64, ,8.3, ,4.9, ,242, ,17.2, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0400,125,0.02, ,0.00, ,0, ,1.1, ,14.6, ,64, ,8.0, ,2.1, ,309, ,17.1, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0500,125,0.00, ,0.00, ,0, ,1.1, ,12.1, ,77, ,8.2, ,1.4, ,334, ,16.9, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0600,125,0.02, ,0.00, ,35, ,1.2, ,13.5, ,77, ,9.6, ,1.5, ,282, ,16.8, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0700,125,0.10, ,0.00, ,143, ,1.2, ,14.8, ,74, ,10.2, ,3.0, ,230, ,16.6, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0800,125,0.16, ,0.00, ,231, ,1.2, ,15.9, ,69, ,10.1, ,3.1, ,238, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/5/2018,0900,125,0.22, ,0.00, ,324, ,1.2, ,16.5, ,67, ,10.3, ,3.8, ,237, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1000,125,0.50, ,0.00, ,687, ,1.3, ,19.0, ,60, ,11.0, ,4.3, ,230, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1100,125,0.65, ,0.00, ,893, ,1.3, ,21.9, ,51, ,11.3, ,3.9, ,239, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1200,125,0.70, ,0.00, ,856, ,1.2, ,23.2, ,43, ,10.0, ,4.2, ,231, ,16.7, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1300,125,0.58, ,0.00, ,704, ,1.2, ,22.9, ,43, ,9.7, ,3.9, ,237, ,17.1, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1400,125,0.41, ,0.00, ,483, ,1.2, ,22.8, ,42, ,9.2, ,3.7, ,237, ,17.4, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1500,125,0.30, ,0.00, ,348, ,1.3, ,20.7, ,52, ,10.5, ,5.4, ,229, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1600,125,0.26, ,0.00, ,305, ,1.4, ,20.1, ,58, ,11.6, ,4.9, ,229, ,17.8, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1700,125,0.31, ,0.00, ,321, ,1.2, ,20.8, ,51, ,10.2, ,5.3, ,234, ,17.8, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1800,125,0.19, ,0.00, ,157, ,1.3, ,18.8, ,61, ,11.1, ,6.4, ,230, ,17.8, 
140,Twitchell Island,San Francisco Bay,5/5/2018,1900,125,0.08, ,0.00, ,44, ,1.3, ,17.7, ,64, ,10.8, ,4.5, ,225, ,17.8, 
140,Twitchell Island,San Francisco Bay,5/5/2018,2000,125,0.04, ,0.00, ,1, ,1.3, ,16.3, ,69, ,10.5, ,4.2, ,222, ,17.7, 
140,Twitchell Island,San Francisco Bay,5/5/2018,2100,125,0.03, ,0.00, ,0, ,1.2, ,15.2, ,72, ,10.1, ,4.3, ,230, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/5/2018,2200,125,0.03, ,0.00, ,0, ,1.2, ,14.0, ,76, ,9.7, ,5.1, ,231, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/5/2018,2300,125,0.02, ,0.00, ,0, ,1.2, ,12.6, ,81, ,9.5, ,5.8, ,227, ,17.3, 
140,Twitchell Island,San Francisco Bay,5/5/2018,2400,125,0.02, ,0.00, ,0, ,1.2, ,12.0, ,84, ,9.3, ,7.7, ,221, ,17.1, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0100,126,0.01, ,0.00, ,0, ,1.2, ,11.7, ,85, ,9.3, ,8.0, ,221, ,16.9, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0200,126,0.01, ,0.00, ,0, ,1.1, ,11.7, ,84, ,9.0, ,7.8, ,217, ,16.7, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0300,126,0.02, ,0.00, ,0, ,1.1, ,11.7, ,80, ,8.4, ,7.4, ,220, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0400,126,0.01, ,0.00, ,0, ,1.1, ,11.3, ,80, ,7.9, ,5.5, ,216, ,16.4, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0500,126,0.01, ,0.00, ,0, ,1.0, ,11.2, ,78, ,7.6, ,5.8, ,222, ,16.2, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0600,126,0.03, ,0.00, ,31, ,1.0, ,11.3, ,78, ,7.6, ,5.0, ,217, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0700,126,0.15, ,0.00, ,214, ,1.1, ,12.1, ,76, ,8.0, ,5.9, ,215, ,15.9, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0800,126,0.26, ,0.00, ,461, ,1.1, ,13.5, ,72, ,8.6, ,5.7, ,213, ,15.8, 
140,Twitchell Island,San Francisco Bay,5/6/2018,0900,126,0.41, ,0.00, ,665, ,1.2, ,14.9, ,69, ,9.2, ,5.4, ,214, ,15.7, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1000,126,0.57, ,0.00, ,859, ,1.2, ,16.7, ,64, ,9.9, ,5.2, ,219, ,15.7, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1100,126,0.67, ,0.00, ,964, ,1.2, ,18.4, ,58, ,9.9, ,5.0, ,219, ,15.8, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1200,126,0.74, ,0.00, ,989, ,1.2, ,20.0, ,50, ,9.3, ,5.4, ,232, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1300,126,0.79, ,0.00, ,1019, ,1.2, ,21.2, ,46, ,9.2, ,5.4, ,225, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1400,126,0.71, ,0.00, ,890, ,1.2, ,22.0, ,46, ,9.9, ,6.1, ,227, ,16.9, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1500,126,0.51, ,0.00, ,596, ,1.2, ,21.7, ,47, ,10.0, ,5.4, ,228, ,17.3, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1600,126,0.39, ,0.00, ,440, ,1.3, ,20.8, ,52, ,10.6, ,5.7, ,232, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1700,126,0.34, ,0.00, ,378, ,1.2, ,19.9, ,54, ,10.1, ,5.8, ,232, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1800,126,0.19, ,0.00, ,165, ,1.2, ,18.9, ,56, ,10.0, ,5.3, ,221, ,17.7, 
140,Twitchell Island,San Francisco Bay,5/6/2018,1900,126,0.08, ,0.00, ,29, ,1.2, ,17.8, ,60, ,10.0, ,4.8, ,218, ,17.7, 
140,Twitchell Island,San Francisco Bay,5/6/2018,2000,126,0.05, ,0.00, ,1, ,1.3, ,17.1, ,67, ,10.9, ,5.2, ,219, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/6/2018,2100,126,0.04, ,0.00, ,0, ,1.3, ,16.4, ,68, ,10.4, ,4.4, ,219, ,17.5, 
140,Twitchell Island,San Francisco Bay,5/6/2018,2200,126,0.05, ,0.00, ,0, ,1.2, ,16.4, ,66, ,10.1, ,4.9, ,222, ,17.4, 
140,Twitchell Island,San Francisco Bay,5/6/2018,2300,126,0.04, ,0.00, ,0, ,1.2, ,15.9, ,67, ,9.8, ,4.4, ,222, ,17.2, 
140,Twitchell Island,San Francisco Bay,5/6/2018,2400,126,0.05, ,0.00, ,0, ,1.2, ,16.0, ,66, ,9.6, ,4.8, ,227, ,17.1, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0100,127,0.03, ,0.00, ,0, ,1.2, ,15.4, ,68, ,9.6, ,5.4, ,231, ,16.9, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0200,127,0.02, ,0.00, ,0, ,1.2, ,14.7, ,71, ,9.5, ,5.4, ,227, ,16.8, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0300,127,0.01, ,0.00, ,0, ,1.2, ,14.0, ,73, ,9.3, ,4.9, ,228, ,16.7, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0400,127,0.01, ,0.00, ,0, ,1.1, ,13.7, ,73, ,8.9, ,5.0, ,234, ,16.6, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0500,127,0.01, ,0.00, ,0, ,1.2, ,13.2, ,76, ,9.1, ,4.9, ,232, ,16.4, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0600,127,0.04, ,0.00, ,55, ,1.1, ,13.3, ,74, ,8.9, ,4.5, ,234, ,16.3, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0700,127,0.17, ,0.00, ,239, ,1.2, ,14.9, ,68, ,9.1, ,4.9, ,235, ,16.2, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0800,127,0.29, ,0.00, ,468, ,1.2, ,16.7, ,63, ,9.6, ,4.4, ,236, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/7/2018,0900,127,0.45, ,0.00, ,675, ,1.2, ,18.6, ,58, ,10.1, ,3.7, ,248, ,16.0, 
140,Twitchell Island,San Francisco Bay,5/7/2018,1000,127,0.59, ,0.00, ,848, ,1.3, ,20.8, ,55, ,11.4, ,3.1, ,260, ,16.1, 
140,Twitchell Island,San Francisco Bay,5/7/2018,1100,127,0.69, ,0.00, ,961, ,1.4, ,22.8, ,51, ,12.1, ,2.6, ,281, ,16.2, 
140,Twitchell Island,San Francisco Bay,5/7/2018,1200,127,0.76, ,0.00, ,1022, ,1.5, ,24.7, ,47, ,12.6, ,2.2, ,259, ,16.5, 
140,Twitchell Island,San Francisco Bay,5/7/2018,1300,127,0.78, ,0.00, ,1023, ,1.5, ,26.1, ,44, ,13.1, ,2.3, ,224, ,17.0, 
140,Twitchell Island,San Francisco Bay,5/7/2018,1400,127,0.77, ,0.00, ,966, ,1.4, ,26.8, ,41, ,12.5, ,3.2, ,233, ,17.6, 
140,Twitchell Island,San Francisco Bay,5/7/2018,1500,127,0.67, ,0.00, ,845, ,1.3, ,27.6, ,37, ,11.4, ,2.9, ,236, ,18.0, 
140,Twitchell Island,San Francisco Bay,5/7/2018,1600,127,0.56, ,0.00, ,691, ,1.3, ,27.6, ,35, ,10.6, ,3.3, ,240, ,18.4, 
